person_name,movie_title,release_year,role,genre
Tom Cruise,Top Gun: Maverick,2022,Pete Mitchell,Action
Jennifer Connelly,Top Gun: Maverick,2022,Penny Benjamin,Action
Miles Teller,Top Gun: Maverick,2022,Bradley Bradshaw,Action
Keanu Reeves,The Matrix,1999,Neo,Sci-Fi
Laurence Fishburne,The Matrix,1999,Morpheus,Sci-Fi
Carrie-Anne Moss,The Matrix,1999,Trinity,Sci-Fi
Margot Robbie,Barbie,2023,Barbie,Comedy
Ryan Gosling,Barbie,2023,Ken,Comedy
Cillian Murphy,Oppenheimer,2023,J. Robert Oppenheimer,Biography
Emily Blunt,Oppenheimer,2023,Kitty Oppenheimer,Biography
Robert Downey Jr.,Oppenheimer,2023,Lewis Strauss,Biography
Matt Damon,The Diamond Protocol,2018,Sarah Connor,Thriller
Lupita Nyong'o,Miami Dreams,2021,Victoria Fox,Romance
Viggo Mortensen,Beyond Boston,2019,Samuel Brooks,Sci-Fi
Zoe Saldana,The Tokyo Conspiracy,1999,Maria Garcia,Mystery
Maggie Smith,Midnight in Diamond,1994,Michael Chen,Mystery
Emma Stone,The Cairo Conspiracy,2010,Sarah Connor,Mystery
Cillian Murphy,Dark Legacy,2021,Rachel Green,Drama
Elizabeth Olsen,Midnight in Mumbai,2018,Rachel Green,Thriller
Gal Gadot,Paris Legacy,2008,Diana Ross,Drama
Sean Astin,Boston Wars,2014,Catherine Bell,War
Charlize Theron,The Dark Conspiracy,1992,John Williams,Drama
Anne Hathaway,The Seattle Protocol,2003,Rebecca Lane,Action
Ernie Hudson,Edge of Diamond,2013,Peter Grant,Sci-Fi
Charlize Theron,The Last Phoenix,2000,Marcus Black,Drama
Jake Gyllenhaal,Storm Forever,1997,Kate Wilson,Comedy
Sandra Bullock,Beyond Light,2008,Isabella Cruz,Adventure
Jamie Lee Curtis,Edge of Golden,2017,Sophia Wells,Sci-Fi
Harold Ramis,Cairo Forever,2008,Diana Ross,Comedy
Jason Momoa,The Water Chronicles,2005,Samuel Brooks,Fantasy
Elizabeth Olsen,The Atlas Chronicles,2024,Rebecca Lane,Action
Mark Hamill,City of Phoenix,2022,Kevin Adams,Drama
Julia Roberts,City of Thunder,2024,Laura White,Drama
Kate Winslet,The Cairo Chronicles,2005,James Anderson,Action
Julia Roberts,Return to Phoenix,1993,John Williams,Drama
Emily Blunt,Return to Paris,2002,Sophie Davis,Mystery
Michelle Yeoh,Thunder Legacy,2018,Sophie Davis,Adventure
Ezra Miller,The Crystal Protocol,2022,Rachel Green,Sci-Fi
Daniel Radcliffe,Sydney Rising,2009,Jack Mitchell,Action
Sandra Bullock,The Secret Water,2017,Jack Mitchell,Mystery
James Hong,The Last Diamond,2002,Andrew Long,Drama
Hugo Weaving,The Last Miami,2004,Thomas Reed,Drama
Ian McKellen,The Last Dark,1998,Amanda Hill,Drama
Benedict Cumberbatch,The Shadow Affair,1990,Nina Patel,Drama
Leonardo DiCaprio,The Manhattan Conspiracy,1995,Steven King,Thriller
Tom Holland,Return to Golden,2011,Marcus Black,Thriller
Gal Gadot,The Wind Protocol,2010,Sarah Connor,Sci-Fi
Viggo Mortensen,Midnight in Steel,2020,Emma Clarke,Mystery
Zoe Saldana,Seattle Legacy,2022,Steven King,Drama
Amy Adams,The Diamond Conspiracy,2012,Steven King,Mystery
Letitia Wright,Edge of Phoenix,1990,Robert Miller,Thriller
Winston Duke,The Last Chicago,2004,Anna Johnson,Historical
Carrie-Anne Moss,Golden Shadows,1998,Paul Jackson,Horror
Emma Watson,The Last Iron,2009,Victoria Fox,Historical
John Boyega,The Cairo Conspiracy,2010,Rachel Green,Mystery
Charlize Theron,The London Chronicles,2010,James Anderson,Fantasy
Ezra Miller,Golden Wars,2009,Lisa Martinez,War
Hugh Jackman,Moscow Legacy,1994,Chris Brown,Adventure
Bill Murray,Cairo Legacy,2009,Alex Turner,Drama
Jake Gyllenhaal,The Thunder Affair,2023,Paul Jackson,Mystery
Al Pacino,Beyond Fire,2002,Peter Grant,Sci-Fi
Sally Field,Dark Dreams,2019,Nina Patel,Fantasy
Dan Aykroyd,The Water Project,2013,Thomas Reed,Drama
Ke Huy Quan,The Last Berlin,1995,David Stone,Historical
Robert De Niro,The Water Protocol,1999,Sophia Wells,Sci-Fi
Daniel Radcliffe,The Thunder Project,2022,Laura White,Sci-Fi
Robin Williams,The Crystal Protocol,2022,Kevin Adams,Sci-Fi
Samuel L. Jackson,The Chicago Project,2017,Lisa Martinez,Sci-Fi
Lupita Nyong'o,Steel Rising,2013,David Stone,Thriller
Denzel Washington,Golden Shadows,1998,Sophia Wells,Horror
Zoe Saldana,Phoenix Forever,1997,Michael Chen,Comedy
Ryan Gosling,Edge of Sydney,1991,James Anderson,Thriller
Tom Hardy,City of Sydney,2013,Rachel Green,Drama
Oscar Isaac,The Atlas Affair,2011,Brian Scott,Drama
Dan Aykroyd,The Diamond Project,2023,Nathan Drake,Sci-Fi
Chris Evans,Beyond Sydney,2021,Thomas Reed,Sci-Fi
Daniel Radcliffe,City of Shadow,1999,Isabella Cruz,Drama
Hugo Weaving,The Last Seattle,2008,Nina Patel,Drama
Dan Aykroyd,The Wind Affair,2024,Rachel Green,Drama
Kate Winslet,Venice Legacy,2000,Kate Wilson,Action
Samuel L. Jackson,City of Miami,2016,Michael Chen,Drama
Domhnall Gleeson,The Seattle Heist,2022,Samuel Brooks,Thriller
Chris Pratt,The Sydney Heist,2004,Paul Jackson,Thriller
Zendaya,Wind Legacy,2001,Thomas Reed,Action
Robin Williams,The Venice Conspiracy,2005,Isabella Cruz,Mystery
Jennifer Lawrence,Beyond Diamond,2007,Paul Jackson,Fantasy
Maggie Smith,The Sydney Project,2011,Jessica Lee,Sci-Fi
Matt Williams,The Secret London,2010,Steven King,Mystery
Laurence Fishburne,The Seattle Project,1994,Nina Patel,Sci-Fi
James Hong,Wind Forever,2016,Alex Turner,Drama
Elijah Wood,Sydney Legacy,2017,Rebecca Lane,Drama
Dan Aykroyd,The Tokyo Heist,2001,Sophie Davis,Crime
Andy Serkis,Mumbai Forever,2023,Jack Mitchell,Comedy
Tom Hanks,The Berlin Chronicles,2004,Steven King,Action
Will Smith,Sydney Wars,2012,Maria Garcia,War
Morgan Freeman,Edge of Diamond,2013,Chris Brown,Sci-Fi
Sean Astin,Mumbai Forever,2023,Kevin Adams,Comedy
Paul Rudd,The Last Steel,1992,Grace Taylor,Historical
Rupert Grint,Edge of Miami,2013,Lisa Martinez,Thriller
Cillian Murphy,The Golden Conspiracy,2017,Jack Mitchell,Mystery
Sean Astin,Beyond Light,2008,Catherine Bell,Adventure
Scarlett Johansson,Water Dreams,1990,Lisa Martinez,Romance
Jake Gyllenhaal,The Seattle Chronicles,2002,Paul Jackson,Fantasy
Winston Duke,Crystal Wars,1994,Kevin Adams,Drama
Matt Damon,Atlas Nights,2002,Victoria Fox,Drama
Anne Hathaway,The Last Iron,2009,Rachel Green,Historical
Chris Hemsworth,Storm Wars,2022,Lisa Martinez,Action
Emma Watson,The Last Miami,2004,Victoria Fox,Drama
Elijah Wood,Manhattan Wars,2004,Maria Garcia,War
Stephanie Hsu,Venice Legacy,2000,Samuel Brooks,Action
Letitia Wright,The Seattle Heist,2022,Brian Scott,Thriller
Jada Pinkett Smith,Storm Wars,2022,Nathan Drake,Action
Will Smith,The Silver Project,2018,James Anderson,Sci-Fi
Hugo Weaving,Beyond Light,2008,Daniel Moore,Adventure
Brad Pitt,The Crystal Project,2016,Amanda Hill,Sci-Fi
Zendaya,The Secret Silver,1992,Andrew Long,Mystery
Bill Murray,Wind Wars,1997,Nina Patel,War
Johnny Depp,The Secret Steel,2008,Catherine Bell,Mystery
Bill Murray,Edge of Cairo,1994,James Anderson,Thriller
Pierce Brosnan,The Last Light,2000,Grace Taylor,War
Amy Adams,The Sydney Affair,2020,Nathan Drake,Drama
Christian Bale,The Boston Chronicles,2014,Thomas Reed,Action
Emma Stone,The Phoenix Affair,1990,Brian Scott,Romance
Morgan Freeman,The Crystal Chronicles,2018,Robert Miller,Fantasy
Harold Ramis,Storm Forever,1997,Grace Taylor,Comedy
Morgan Freeman,City of Seattle,2022,Victoria Fox,Drama
Vin Diesel,Beyond Atlas,2018,Sophia Wells,Adventure
Jamie Lee Curtis,Wind Shadows,2018,Isabella Cruz,Horror
Samuel L. Jackson,The Tokyo Affair,2020,Daniel Moore,Romance
Anne Hathaway,Boston Legacy,2022,Maria Garcia,Action
Rupert Grint,Manhattan Rising,2011,Nina Patel,Action
Danai Gurira,Iron Nights,2013,John Williams,Comedy
Cate Blanchett,The Miami Conspiracy,1994,Lisa Martinez,Thriller
Ian McKellen,Edge of Manhattan,2001,Thomas Reed,Action
Sean Astin,Golden Shadows,1998,Laura White,Horror
Zendaya,Sydney Rising,2009,Brian Scott,Action
Dwayne Johnson,The Secret Iron,2003,John Williams,Thriller
Oscar Isaac,The Secret Iron,2003,Sophie Davis,Thriller
Lupita Nyong'o,The Silver Protocol,2018,Laura White,Sci-Fi
Lupita Nyong'o,The Steel Heist,2004,Nina Patel,Thriller
Scarlett Johansson,Midnight in Paris,1996,James Anderson,Mystery
Emily Blunt,Chicago Shadows,2021,Samuel Brooks,Mystery
Pierce Brosnan,Beyond Phoenix,2001,Chris Brown,Sci-Fi
Florence Pugh,The Paris Affair,1995,Brian Scott,Mystery
Nicole Kidman,Venice Dreams,2021,Robert Miller,Fantasy
Anne Hathaway,Seattle Nights,2001,Victoria Fox,Comedy
Jason Statham,City of Fire,2003,Amanda Hill,Drama
Adam Driver,The Last Sydney,2014,Sarah Connor,Drama
Rupert Grint,The Cairo Affair,2009,Lisa Martinez,Drama
Sally Field,The Light Protocol,1995,Rebecca Lane,Sci-Fi
Chris Hemsworth,The Diamond Project,2023,Isabella Cruz,Sci-Fi
Ernie Hudson,London Rising,1991,Rachel Green,Action
Sandra Bullock,The Silver Protocol,2018,David Stone,Sci-Fi
Nicole Kidman,Beyond Diamond,2007,Emma Clarke,Fantasy
Chris Hemsworth,The Manhattan Protocol,1996,Samuel Brooks,Thriller
Mark Ruffalo,Edge of Seattle,1998,Maria Garcia,Thriller
Tom Cruise,The Last Thunder,1994,Sophie Davis,War
Daniel Radcliffe,Atlas Shadows,2014,Henry Ford,Thriller
Robert De Niro,Return to Golden,2011,Sophia Wells,Thriller
Scarlett Johansson,The Secret Shadow,2019,James Anderson,Mystery
Laurence Fishburne,Iron Wars,2007,Brian Scott,War
Samuel L. Jackson,The Moscow Heist,2020,Jack Mitchell,Thriller
Domhnall Gleeson,The Light Project,2017,Alex Turner,Sci-Fi
Rupert Grint,Silver Rising,2023,James Anderson,Action
Kate Winslet,The Sydney Project,2011,Jack Mitchell,Sci-Fi
Lupita Nyong'o,Midnight in Venice,2016,John Williams,Horror
Brad Pitt,Return to Phoenix,1993,Peter Grant,Drama
Johnny Depp,Paris Forever,2018,Brian Scott,Drama
Jada Pinkett Smith,The Miami Affair,2020,Anna Johnson,Mystery
Elijah Wood,Cairo Wars,2001,Amanda Hill,War
Charlize Theron,The Secret Wind,2024,Nina Patel,Thriller
Christian Bale,Return to Tokyo,2004,Emma Clarke,Thriller
Margot Robbie,Iron Wars,2007,John Williams,War
Hugh Jackman,Beyond Iron,2006,Jack Mitchell,Sci-Fi
Elijah Wood,The Wind Affair,2024,Anna Johnson,Drama
James Hong,The Venice Project,2009,Kate Wilson,Thriller
Michael B. Jordan,The Last Thunder,1994,Nina Patel,War
Domhnall Gleeson,The Last Shadow,2019,Victoria Fox,War
Matt Williams,The Storm Protocol,2010,Nathan Drake,Sci-Fi
Robert De Niro,Wind Dreams,1992,Sophia Wells,Fantasy
Jada Pinkett Smith,The Last Mumbai,2013,David Stone,Drama
Tom Holland,Midnight in Storm,1998,Daniel Moore,Mystery
Charlize Theron,Return to Cairo,1995,Laura White,Mystery
Michael B. Jordan,Shadow Forever,2015,Samuel Brooks,Drama
Mark Ruffalo,City of Wind,2017,Olivia Hunt,Drama
Ryan Gosling,Thunder Nights,1990,Brian Scott,Romance
Jason Statham,The Secret Shadow,2019,Lisa Martinez,Mystery
Amy Adams,Return to Manhattan,1990,Catherine Bell,Mystery
Robert Downey Jr.,The Last Mumbai,2013,Rachel Green,Drama
Florence Pugh,The Secret Light,1999,Henry Ford,Thriller
Christian Bale,Midnight in Golden,2013,Sophie Davis,Horror
John Boyega,The Seattle Affair,1996,James Anderson,Drama
Emma Watson,Edge of Manhattan,2001,Steven King,Action
Lupita Nyong'o,City of Miami,2016,Marcus Black,Drama
Robert Downey Jr.,The Tokyo Project,2006,Daniel Moore,Thriller
Orlando Bloom,London Forever,1998,Marcus Black,Comedy
Michael B. Jordan,The Dark Conspiracy,1992,Thomas Reed,Drama
Nicole Kidman,The Last Golden,2001,Brian Scott,Drama
Matthew Broderick,City of Phoenix,2022,Laura White,Drama
Al Pacino,Diamond Wars,2007,Nina Patel,Action
Dwayne Johnson,The Golden Chronicles,1992,Andrew Long,Fantasy
Paul Rudd,The Atlas Heist,1998,Olivia Hunt,Crime
John Boyega,Wind Nights,2001,Jack Mitchell,Romance
Julia Roberts,The Secret Chicago,2020,John Williams,Drama
Scarlett Johansson,The Last Boston,1999,David Stone,Historical
Samuel L. Jackson,The Shadow Conspiracy,2000,Robert Miller,Mystery
Tom Hanks,Water Wars,2024,Peter Grant,War
John Boyega,The Secret Phoenix,1997,Rebecca Lane,Thriller
Hugo Weaving,Return to Paris,2002,Brian Scott,Mystery
Chris Evans,Mumbai Forever,2023,Alex Turner,Comedy
Vin Diesel,Crystal Shadows,2023,Isabella Cruz,Horror
Jada Pinkett Smith,Chicago Forever,1996,Nina Patel,Romance
Jamie Lee Curtis,City of Mumbai,2011,Amanda Hill,Thriller
Scarlett Johansson,Midnight in Light,2007,Andrew Long,Thriller
Tom Hardy,Midnight in Atlas,2022,Victoria Fox,Mystery
Oscar Isaac,Beyond Light,2008,Laura White,Adventure
Cillian Murphy,Midnight in Sydney,2011,Chris Brown,Horror
Jamie Lee Curtis,The Mumbai Conspiracy,1993,Alex Turner,Thriller
Tom Hanks,Wind Forever,2016,Olivia Hunt,Drama
Scarlett Johansson,Return to Diamond,2001,Grace Taylor,Drama
Jamie Lee Curtis,Beyond Wind,2000,Lisa Martinez,Adventure
Ezra Miller,City of Storm,2022,Henry Ford,Crime
Hugo Weaving,The Wind Heist,2012,Michael Chen,Crime
Pierce Brosnan,Crystal Shadows,2023,Steven King,Horror
Jada Pinkett Smith,The Storm Heist,2011,Peter Grant,Thriller
Angelina Jolie,The Cairo Project,2007,Sophie Davis,Sci-Fi
Emma Stone,The Secret Boston,1999,Brian Scott,Mystery
Zoe Saldana,The Wind Affair,2024,Isabella Cruz,Drama
Michelle Yeoh,Wind Wars,1997,Robert Miller,War
Tom Hardy,Boston Dreams,2004,Emma Clarke,Drama
Scarlett Johansson,Return to Crystal,2011,Sarah Connor,Thriller
Sigourney Weaver,Crystal Shadows,2023,Chris Brown,Horror
Carrie Fisher,The Last Manhattan,1999,Laura White,War
Gal Gadot,Midnight in Mumbai,2018,Sophie Davis,Thriller
Julia Roberts,Return to Phoenix,1993,David Stone,Drama
Daisy Ridley,Edge of Water,2017,Samuel Brooks,Action
Will Smith,Light Legacy,1994,Isabella Cruz,Drama
Tom Holland,Moscow Wars,1998,Kate Wilson,Action
Nicole Kidman,Mumbai Shadows,2014,James Anderson,Horror
Matt Williams,Boston Shadows,2022,Robert Miller,Mystery
Michael B. Jordan,The Fire Affair,2002,John Williams,Romance
Chris Hemsworth,Storm Legacy,2024,Peter Grant,Drama
Ernie Hudson,Midnight in Crystal,2006,Sophia Wells,Mystery
Ian McKellen,Edge of Phoenix,1990,Andrew Long,Thriller
Letitia Wright,Paris Rising,2022,Sophie Davis,Sci-Fi
Sigourney Weaver,The Paris Heist,1996,Sophia Wells,Action
Tom Holland,Diamond Wars,2007,Nina Patel,Action
Elijah Wood,London Dreams,2020,Nina Patel,Romance
Kate Winslet,Light Forever,2010,Steven King,Drama
Zendaya,Edge of Manhattan,2001,Amanda Hill,Action
Ke Huy Quan,Beyond Crystal,2018,Daniel Moore,Sci-Fi
Carrie-Anne Moss,Beyond Fire,2002,John Williams,Sci-Fi
Ryan Gosling,City of Phoenix,2022,Isabella Cruz,Drama
Bill Murray,City of Steel,2010,Nathan Drake,Drama
Julia Roberts,City of Water,1999,Nathan Drake,Drama
Jamie Lee Curtis,The Last Tokyo,1994,Maria Garcia,Drama
Lupita Nyong'o,City of Seattle,2022,Nathan Drake,Drama
Dwayne Johnson,Return to Crystal,2011,David Stone,Thriller
Stephanie Hsu,The Venice Project,2009,Andrew Long,Thriller
Matt Damon,The Chicago Chronicles,1995,Nina Patel,Adventure
Zendaya,London Rising,1991,David Stone,Action
Hugh Jackman,Edge of Atlas,2024,Catherine Bell,Action
Gal Gadot,Tokyo Wars,1994,Thomas Reed,War
Elijah Wood,London Rising,1991,John Williams,Action
Ryan Reynolds,The Cairo Protocol,2004,Maria Garcia,Action
Florence Pugh,Midnight in Moscow,2014,Paul Jackson,Mystery
Margot Robbie,The London Heist,2024,Paul Jackson,Action
Tom Hanks,Beyond Golden,1994,Marcus Black,Sci-Fi
Carrie-Anne Moss,Miami Legacy,2006,Anna Johnson,Drama
Ryan Gosling,Wind Forever,2016,Chris Brown,Drama
Orlando Bloom,Diamond Rising,2020,Thomas Reed,Action
Al Pacino,London Nights,2007,Victoria Fox,Drama
Charlize Theron,City of Sydney,2013,Isabella Cruz,Drama
Letitia Wright,Beyond Cairo,1996,Grace Taylor,Sci-Fi
Jason Momoa,Midnight in Chicago,2021,Amanda Hill,Thriller
Al Pacino,Water Forever,2002,Catherine Bell,Romance
Jake Gyllenhaal,The Water Protocol,1999,Maria Garcia,Sci-Fi
Ryan Gosling,The Chicago Chronicles,1995,Isabella Cruz,Adventure
Emily Blunt,The Silver Project,2018,Lisa Martinez,Sci-Fi
Mark Ruffalo,The Shadow Chronicles,1992,Kevin Adams,Action
Vin Diesel,Steel Rising,2013,Daniel Moore,Thriller
John Boyega,The Boston Affair,1992,Catherine Bell,Drama
Matthew Broderick,City of Berlin,2013,Kevin Adams,Thriller
Lupita Nyong'o,The Paris Conspiracy,2013,Catherine Bell,Thriller
Pierce Brosnan,Phoenix Wars,1991,Robert Miller,Drama
Bill Murray,The Steel Heist,2004,Victoria Fox,Thriller
Lupita Nyong'o,Midnight in Boston,2022,Andrew Long,Horror
Timothée Chalamet,Golden Shadows,1998,Michael Chen,Horror
John Boyega,Thunder Dreams,1998,Samuel Brooks,Romance
Chris Evans,The Dark Conspiracy,1992,Emma Clarke,Drama
Amy Adams,The Atlas Project,2013,Henry Ford,Thriller
Elijah Wood,The Diamond Protocol,2018,Catherine Bell,Thriller
Sigourney Weaver,Beyond Golden,1994,Emma Clarke,Sci-Fi
Angelina Jolie,The Secret Silver,1992,Kate Wilson,Mystery
Tom Hardy,Mumbai Forever,2023,Andrew Long,Comedy
Lupita Nyong'o,City of Cairo,2014,Kate Wilson,Drama
Rupert Grint,Cairo Legacy,2009,Olivia Hunt,Drama
Harrison Ford,Steel Nights,2016,Peter Grant,Drama
Matt Williams,Light Shadows,1990,Daniel Moore,Mystery
Carrie-Anne Moss,Thunder Legacy,2018,Diana Ross,Adventure
Margot Robbie,The Sydney Protocol,1991,Daniel Moore,Action
Jake Gyllenhaal,City of Crystal,1990,John Williams,Thriller
Carrie-Anne Moss,Moscow Legacy,1994,Amanda Hill,Adventure
Johnny Depp,Return to Wind,1991,Steven King,Thriller
Emma Watson,City of Tokyo,1992,Andrew Long,Thriller
Zendaya,The Atlas Conspiracy,2024,Anna Johnson,Thriller
Ke Huy Quan,Edge of Mumbai,2003,Robert Miller,Thriller
Denzel Washington,The Tokyo Conspiracy,1999,Catherine Bell,Mystery
Zoe Saldana,Beyond Miami,2007,Samuel Brooks,Sci-Fi
Johnny Depp,City of Diamond,2015,Rachel Green,Thriller
Sandra Bullock,Midnight in Iron,2018,Maria Garcia,Mystery
James Hong,Shadow Forever,2015,Olivia Hunt,Drama
Ezra Miller,Beyond Sydney,2021,Diana Ross,Sci-Fi
Jake Gyllenhaal,Midnight in Crystal,2006,Anna Johnson,Mystery
Emily Blunt,Beyond Paris,2002,Diana Ross,Adventure
John Boyega,Wind Wars,1997,Sophie Davis,War
Ernie Hudson,The Miami Project,1999,Andrew Long,Thriller
Natalie Portman,City of Miami,2016,Olivia Hunt,Drama
Ezra Miller,Miami Wars,2022,Maria Garcia,War
James Hong,London Wars,2002,James Anderson,Drama
Nicole Kidman,The Secret Venice,2011,John Williams,Thriller
Benedict Cumberbatch,Edge of Mumbai,2003,Grace Taylor,Thriller
Leonardo DiCaprio,Beyond Steel,2008,Nina Patel,Fantasy
Al Pacino,The Secret Crystal,1998,Rachel Green,Mystery
Christian Bale,Return to Atlas,2011,John Williams,Thriller
Matthew Broderick,Manhattan Forever,1994,Sophia Wells,Romance
Pierce Brosnan,The Storm Protocol,2010,Victoria Fox,Sci-Fi
Zoe Saldana,The Steel Chronicles,1999,Anna Johnson,Action
Hugo Weaving,Fire Nights,2003,Alex Turner,Drama
Jamie Lee Curtis,The Thunder Protocol,2010,Lisa Martinez,Thriller
Orlando Bloom,The Wind Project,2023,James Anderson,Sci-Fi
Ian McKellen,The Last Manhattan,1999,Brian Scott,War
Sally Field,Midnight in Silver,2024,Amanda Hill,Thriller
